symbole,ticker_name,date,cloture,volume,daily_return,volume_zscore,return_zscore,volume_anomaly,price_anomaly,combined_anomaly,status,matched_headline,matched_news_date,gap_days,category,source,priority,baseline_volume,recent_volume,decline_ratio,last_active_date,days_since_active
STPIL,SOTRAPIL,2022-11-10,12.51,20232.0,-0.0362095531587057,19.98570805628613,-3.8489910936967897,True,True,True,UNEXPLAINED,,,,,spike_detector,1,,,,,
STPIL,SOTRAPIL,2024-10-24,14.8,4027.0,0.0541310541310542,3.552983294610636,6.092753126918812,True,True,True,UNEXPLAINED,,,,,spike_detector,1,,,,,
TGH,TAWASOL,2025-03-12,0.73,71111.0,0.123076923076923,3.493870711973276,5.053395770851942,True,True,True,UNEXPLAINED,,,,,spike_detector,1,,,,,
TGH,TAWASOL,2025-11-27,0.68,102830.0,0.0967741935483872,3.4049415847033067,5.447294000266911,True,True,True,UNEXPLAINED,,,,,spike_detector,1,,,,,
TLNET,TELNET HOLDING,2022-09-12,7.43,16150.0,-0.059493670886076,3.0384123278214363,-5.1552619290952615,True,True,True,UNEXPLAINED,,,,,spike_detector,1,,,,,
TLNET,TELNET HOLDING,2023-09-13,6.5,11450.0,-0.0427098674521354,3.0541221365276523,-3.9949419774692303,True,True,True,UNEXPLAINED,,,,,spike_detector,1,,,,,
TLNET,TELNET HOLDING,2026-03-27,7.39,83844.0,0.0572246065808297,8.759195671837078,3.9991280589179774,True,True,True,UNEXPLAINED,,,,,spike_detector,1,,,,,
TLNET,TELNET HOLDING,2026-03-30,7.83,230819.0,0.0595399188092016,16.6190260726438,3.6380316523372582,True,True,True,UNEXPLAINED,,,,,spike_detector,1,,,,,
TLS,TUNISIE LEASING & FACTORING,2025-12-19,32.3,45397.0,0.0453074433656957,7.704975837234257,3.115342448537292,True,True,True,UNEXPLAINED,,,,,spike_detector,1,,,,,
TPR,TPR,2026-05-15,15.62,191165.0,0.0597014925373133,4.911025567243269,3.450869243419532,True,True,True,UNEXPLAINED,,,,,spike_detector,1,,,,,
TRE,TUNIS RE,2025-05-16,8.0,53381.0,-0.0476190476190476,8.772402358321875,-3.31413618787468,True,True,True,UNEXPLAINED,,,,,spike_detector,1,,,,,
UADH,UADH,2022-06-01,0.65,220601.0,0.5853658536585367,6.202786296196493,7.375676312768003,True,True,True,UNEXPLAINED,,,,,spike_detector,1,,,,,
UADH,UADH,2025-07-04,0.53,47234.0,0.1276595744680853,3.061386955004905,3.274290845767467,True,True,True,UNEXPLAINED,,,,,spike_detector,1,,,,,
UIB,UIB,2023-11-16,25.27,56985.0,0.0542344597413433,11.706983755315925,3.8081621091314286,True,True,True,UNEXPLAINED,,,,,spike_detector,1,,,,,
UMED,UNIMED,2025-05-07,7.89,42029.0,0.0590604026845635,3.3374653319260426,7.032943435280656,True,True,True,UNEXPLAINED,,,,,spike_detector,1,,,,,
UMED,UNIMED,2025-06-23,8.0,103096.0,0.0526315789473683,8.684250115063259,3.297446286424295,True,True,True,UNEXPLAINED,,,,,spike_detector,1,,,,,
WIFAK,WIFAK INT BANK,2024-07-02,8.55,136739.0,-0.0446927374301674,49.71194845827023,-3.672866308681716,True,True,True,UNEXPLAINED,,,,,spike_detector,1,,,,,
SITS,SITS,,,,,,,,,,UNEXPLAINED,,,,,decay_detector,2,472778.0,8360.0,0.0176827178929645,2026-06-15,2.0
PLTU,PLACEMENTS DE TUNISIE - SICAF,,,,,,,,,,UNEXPLAINED,,,,,decay_detector,2,40255.0,6652.0,0.1652465532232021,2026-06-10,7.0
SOTEM,SOTEMAIL,,,,,,,,,,UNEXPLAINED,,,,,decay_detector,2,172.0,2742.0,15.94186046511628,2026-01-02,166.0
