symbole,ticker_name,date,cloture,volume,daily_return,volume_zscore,return_zscore,volume_anomaly,price_anomaly,combined_anomaly,status,matched_headline,matched_news_date,gap_days,category
SAH,SAH,2024-12-13,10.07,203904,0.005994005994006,3.1293259918206635,0.5474788114832602,True,False,False,EXPLAINED,"Dans les coulisses de Lilas Cosmetics : Innovation, qualité et une ambition internationale",2024-12-13,0.0,other_news
SAH,SAH,2025-02-18,10.74,83749,0.0498533724340175,2.2376111605017446,4.962453190803205,False,True,False,EXPLAINED,"Forbes : Jalila Mezni, 35è femme d'affaires la plus puissante du Moyen-Orient en 2025",2025-02-14,-4.0,other_news
SAH,SAH,2025-03-12,11.15,67145,0.0343228200371057,1.7682217729744645,3.304403316106713,False,True,False,UNEXPLAINED,,,,
SAH,SAH,2025-06-03,12.75,55195,0.0459392945036916,0.947677045546114,3.926491363159778,False,True,False,UNEXPLAINED,,,,
SAH,SAH,2025-09-02,12.4,212535,-0.0072057646116893,3.4040335258790213,-0.6334571818249471,True,False,False,UNEXPLAINED,,,,
SAH,SAH,2026-01-15,14.74,64291,0.046875,0.879704571972252,4.445139845398121,False,True,False,UNEXPLAINED,,,,
SAH,SAH,2026-03-10,13.93,31732,0.0395522388059701,0.4340402556548384,3.4295741309836725,False,True,False,UNEXPLAINED,,,,
SAH,SAH,2026-04-13,13.7,1431599,-0.0193271295633501,6.938180304728649,-1.452315988710328,True,False,False,UNEXPLAINED,,,,
SAM,MEUBLES INTERIEURS,2021-07-30,3.0,935,-0.0769230769230768,-1.3252884177649256,-4.36353716630697,False,True,False,UNEXPLAINED,,,,
SAM,MEUBLES INTERIEURS,2022-04-21,3.02,33796,-0.05625,2.1786611184056697,-4.413164779138582,False,True,False,EXPLAINED,Meuble Intérieurs : Hausse du résultat net de 29% en 2021,2022-04-21,0.0,other_news
SAM,MEUBLES INTERIEURS,2022-07-05,3.04,2615,0.0555555555555555,1.021542466594406,3.736028086976477,False,True,False,UNEXPLAINED,,,,
SAM,MEUBLES INTERIEURS,2022-08-01,2.85,5403,-0.0499999999999999,1.3258063170117946,-3.6094967729798872,False,True,False,UNEXPLAINED,,,,
SAM,MEUBLES INTERIEURS,2022-10-06,3.18,34860,0.06,1.9109820696982531,4.412645391944429,False,True,False,UNEXPLAINED,,,,
SAM,MEUBLES INTERIEURS,2023-04-14,3.07,95247,0.0586206896551724,2.2340993675326226,4.03972119226832,False,True,False,EXPLAINED,Meuble Intérieurs a plus que doublé son bénéfice en 2022 à 3 millions de dinars,2023-04-14,0.0,earnings_results
SAM,MEUBLES INTERIEURS,2023-04-20,3.69,177726,0.2019543973941369,2.4535750872515214,12.179589193887812,False,True,False,EXPLAINED,Meuble Intérieurs a plus que doublé son bénéfice en 2022 à 3 millions de dinars,2023-04-14,-6.0,earnings_results
SAM,MEUBLES INTERIEURS,2023-07-31,3.8,3556,-0.073170731707317,-0.4126033412975269,-7.452379498581616,False,True,False,EXPLAINED,Le groupe Meuble Intérieurs réalise des revenus semestriels de plus de 12 millions de dinars,2023-07-24,-7.0,earnings_results
SAM,MEUBLES INTERIEURS,2023-11-10,4.16,18488,0.04,1.0371289331360505,3.8342027518913535,False,True,False,UNEXPLAINED,,,,
SAM,MEUBLES INTERIEURS,2024-04-22,5.5,34540,0.0377358490566037,1.8291056306336029,3.557514549721237,False,True,False,EXPLAINED,Meuble intérieurs augmente de 20 % ses revenus au premier trimestre,2024-04-20,-2.0,earnings_results
SAM,MEUBLES INTERIEURS,2024-05-23,5.93,3886,0.0403508771929823,-0.2270846905084194,3.86229603541644,False,True,False,UNEXPLAINED,,,,
SAM,MEUBLES INTERIEURS,2024-05-24,5.63,36212,-0.0505902192242833,1.6514103165518244,-4.723153087374472,False,True,False,UNEXPLAINED,,,,
SAM,MEUBLES INTERIEURS,2024-07-31,5.82,4333,-0.0877742946708463,0.1979999551398551,-5.882452038784688,False,True,False,UNEXPLAINED,,,,
