symbole,ticker_name,date,cloture,volume,daily_return,volume_zscore,return_zscore,volume_anomaly,price_anomaly,combined_anomaly
MAG,MAGASIN GENERAL,2025-06-11,6.8,1040,-0.08108108108108114,0.8019748519285756,-3.566709783395608,False,True,False
MAG,MAGASIN GENERAL,2025-09-26,9.1,1253,0.08204518430439944,1.3619646518961963,3.51887249808824,False,True,False
MAG,MAGASIN GENERAL,2025-10-23,9.48,607,-0.09195402298850563,0.876263855337569,-3.9094863451958672,False,True,False
MAG,MAGASIN GENERAL,2025-11-06,9.16,90,0.09047619047619038,-0.12260187364720576,3.021187950894709,False,True,False
MAG,MAGASIN GENERAL,2025-12-10,9.15,401544,0.0,4.353090065638908,-0.15368190601095028,True,False,False
MAG,MAGASIN GENERAL,2025-12-24,10.43,603775,0.0,3.844686031399112,-0.1621131989187489,True,False,False
MAG,MAGASIN GENERAL,2026-04-15,10.55,300,-0.08260869565217388,0.4053495260205218,-3.38826201489248,False,True,False
MAG,MAGASIN GENERAL,2026-04-22,11.3,350,0.09708737864077666,0.46673046348940617,3.314641052967024,False,True,False
MGR,SOTUMAG,2021-08-12,3.52,4164,-0.027624309392265234,0.1719694321458009,-3.2045768250034787,False,True,False
MGR,SOTUMAG,2021-08-31,3.76,2764,0.03867403314917128,-0.018530239711847182,3.5396468915197743,False,True,False
MGR,SOTUMAG,2021-09-23,3.82,25488,-0.032911392405063356,1.3101853553588574,-3.514348035285018,False,True,False
MGR,SOTUMAG,2022-03-30,4.75,11631,-0.055666003976143186,0.4468155225529999,-4.447252502927502,False,True,False
MGR,SOTUMAG,2022-10-26,5.03,12623,0.03285420944558526,0.9019363008836951,3.260072992888898,False,True,False
MGR,SOTUMAG,2023-03-16,4.95,14495,0.03773584905660399,0.7990938327300419,3.169326795807632,False,True,False
MGR,SOTUMAG,2023-07-06,4.86,1868,-0.06177606177606165,-0.50874422156406,-5.348629491639865,False,True,False
MGR,SOTUMAG,2024-05-10,6.3,1711,0.050000000000000044,0.37323464226238695,4.948675229272926,False,True,False
MGR,SOTUMAG,2024-05-16,6.39,4964,0.03231017770597733,0.928554658402766,3.124181050329001,False,True,False
MGR,SOTUMAG,2024-07-02,6.04,1,-0.06356589147286829,-3.5129424830206366,-5.887534637097614,False,True,False
MGR,SOTUMAG,2024-11-11,6.34,4000,-0.032061068702290085,1.6546142216155053,-3.262465784820713,False,True,False
MGR,SOTUMAG,2024-11-22,6.53,6,0.03486529318542009,-1.672862842281378,3.488265776037467,False,True,False
MGR,SOTUMAG,2024-12-04,6.3,2173,-0.04400606980273136,1.1143588344467497,-4.480322262423207,False,True,False
MGR,SOTUMAG,2024-12-05,6.59,6645,0.04603174603174609,1.6183892005904184,4.06289497404884,False,True,False
MGR,SOTUMAG,2025-04-22,6.7,8882,0.056782334384858135,1.1764856018702101,5.411989573140413,False,True,False
MGR,SOTUMAG,2025-07-21,7.1,280,-0.04054054054054068,-0.17345162259041988,-3.38414016596434,False,True,False
MGR,SOTUMAG,2025-08-08,7.6,3393,0.05997210599721048,1.3162686627918982,4.5007238404493055,False,True,False
MGR,SOTUMAG,2025-08-11,8.029,2992,0.05644736842105269,1.2019257663581795,3.5898812944600658,False,True,False
MGR,SOTUMAG,2025-08-20,8.36,10873,0.05956907477820028,1.7818606846216813,3.100108442059788,False,True,False
MGR,SOTUMAG,2025-11-26,8.8,6110,-0.049676025917926414,1.3350288134550135,-4.474306253836521,False,True,False
MGR,SOTUMAG,2025-11-27,9.15,48,0.03977272727272729,-0.8517756019394509,3.20909249998295,False,True,False
MGR,SOTUMAG,2026-03-02,9.4,4130,-0.04081632653061229,1.2803399788708634,-4.180923407478076,False,True,False
MGR,SOTUMAG,2026-03-25,9.93,4328,0.045263157894736894,1.3226770858939303,3.4607472194820783,False,True,False
MGR,SOTUMAG,2026-06-02,11.66,810,0.06000000000000005,0.3206635832642145,3.7517204245732474,False,True,False
MGR,SOTUMAG,2026-06-03,12.35,1426,0.05917667238421953,0.6038703227133224,3.275291746112074,False,True,False
MIP,MIP,2021-10-14,0.21,100,,8.03388770016918,,True,False,False
MIP,MIP,2021-11-05,0.21,400,,5.148961793266331,,True,False,False
MIP,MIP,2021-11-10,0.21,389,0.0,3.3753063998907296,,True,False,False
MIP,MIP,2022-03-24,0.25,301,0.25,2.4133678143723536,25.0,False,True,False
MIP,MIP,2022-03-31,0.21,3,-0.16000000000000003,0.11688880912149671,-3.151066335007731,False,True,False
MIP,MIP,2022-04-29,0.16,1250,0.23076923076923084,1.9530321695598452,3.829150197522773,False,True,False
MIP,MIP,2022-05-20,0.26,11411,0.30000000000000004,2.066487692934231,3.869411593417404,False,True,False
MNP,MONOPRIX,2022-03-16,4.23,3107,0.03170731707317098,0.7651267845052525,3.2326440333307622,False,True,False
MNP,MONOPRIX,2022-03-23,3.9,1426,-0.051094890510948954,0.3610447475802469,-4.309193994992884,False,True,False
MNP,MONOPRIX,2022-03-24,4.1,151,0.05128205128205132,-0.7123302998650887,4.170963915054817,False,True,False
MNP,MONOPRIX,2022-04-11,3.89,8441,0.04289544235924936,1.2207244306398344,3.0124488838585757,False,True,False
MNP,MONOPRIX,2022-04-12,4.12,6504,0.059125964010282805,1.0682637534047066,3.8200922572013574,False,True,False
MNP,MONOPRIX,2022-05-06,4.27,66595,0.05955334987593042,2.1835614170481765,3.27043377425196,False,True,False
MNP,MONOPRIX,2023-09-12,5.16,493,-0.06181818181818177,-0.010853467730423443,-3.0835439590541136,False,True,False
MNP,MONOPRIX,2023-10-26,5.0,102,-0.06367041198501866,-0.6734757404253027,-3.034444316941385,False,True,False
MNP,MONOPRIX,2024-04-16,4.26,665,-0.08387096774193559,0.24726308654398682,-3.853942368287406,False,True,False
MNP,MONOPRIX,2024-10-11,4.0,5,0.08401084010840121,-1.8965692344535472,4.118594072583394,False,True,False
MNP,MONOPRIX,2024-12-04,3.7,147,0.10447761194029859,-0.11259413654134291,4.238110460126205,False,True,False
MNP,MONOPRIX,2025-03-13,3.7,22,0.09144542772861364,-1.2658476267123715,3.3549566450893886,False,True,False
MNP,MONOPRIX,2025-12-26,6.1,348288,-0.008130081300813163,3.137469012607942,-0.40937562981730796,True,False,False
MNP,MONOPRIX,2026-03-19,7.97,5444,0.07702702702702702,0.9904739323569597,3.141228754578591,False,True,False
MPBS,MPBS,2022-07-05,2.325,500,0.05922551252847397,-0.22142611592125977,3.1866889398489526,False,True,False
MPBS,MPBS,2023-04-13,2.055,466,-0.055172413793103336,-0.49707758598504936,-3.331275702066891,False,True,False
MPBS,MPBS,2023-09-19,2.25,13602,0.05882352941176472,0.934877547107569,3.22117252571645,False,True,False
MPBS,MPBS,2024-04-15,2.385,40,0.05999999999999983,-1.2456419021287197,3.5372135488858176,False,True,False
